Quarter,National Unemployment Rate SA (%),Dublin Unemployed SA (000),Dublin Unemployment Rate SA (%),Dublin Employed SA (000),QoQ Dublin Employed,QoQ Dublin Unemployment Rate,YoY Dublin Employed,%YoY Dublin Unemployed,Dublin - National Unemployment Rate SA (%)
Q3 12,15.5,81.9,13.0,549.7,0.9,0.7,4.428,-0.56,-2.5
Q4 12,14.9,76.4,11.8,558.6,8.9,-1.3,9.445,-1.37,-3.1
Q1 13,14.6,74.0,11.8,552.9,-5.7,0.1,6.641,-2.0,-2.8
Q2 13,14.4,75.9,12.1,561.6,8.7,0.3,12.798,-0.3,-2.3
Q3 13,13.4,67.6,10.6,573.8,12.2,-1.4,24.09,-2.4,-2.8
Q4 13,12.7,70.0,10.7,577.5,3.7,0.0,18.871,-1.1,-2.0
Q1 14,12.9,71.4,10.9,584.2,6.7,0.3,31.293,-0.9,-2.0
Q2 14,12.2,64.6,10.0,589.2,5.0,-0.9,27.596,-2.1,-2.2
Q3 14,11.7,67.9,10.3,590.7,1.5,0.4,16.923,-0.3,-1.4
Q4 14,10.8,62.5,9.3,605.5,14.8,-1.1,27.957,-1.4,-1.5
Q1 15,10.7,61.1,9.2,603.8,-1.6,0.0,19.621,-1.7,-1.5
Q2 15,10.0,52.1,7.9,609.4,5.6,-1.3,20.197,-2.1,-2.1
Q3 15,9.6,53.8,8.0,618.9,9.5,0.2,28.172,-2.3,-1.6
Q4 15,9.5,55.5,8.1,627.7,8.9,0.0,22.266,-1.2,-1.4
Q1 16,9.0,49.9,7.3,637.6,9.9,-0.7,33.809,-1.9,-1.7
Q2 16,8.8,55.6,8.0,640.3,2.7,0.7,30.896,0.1,-0.8
Q3 16,8.2,52.1,7.4,646.5,6.1,-0.5,27.574,-0.6,-0.8
Q4 16,7.6,46.3,6.7,651.9,5.4,-0.8,24.163,-1.4,-0.9
Q1 17,7.3,44.5,6.5,653.4,1.5,-0.1,15.798,-0.8,-0.8
Q2 17,6.6,41.8,6.0,653.1,-0.3,-0.5,12.798,-2.0,-0.6
Q3 17,6.6,43.2,6.1,658.1,5.0,0.2,11.647,-1.3,-0.5
Q4 17,6.5,46.2,6.5,670.9,12.8,0.3,18.971,-0.2,0.0
Q1 18,5.9,39.3,5.5,684.2,13.4,-0.9,30.79,-1.0,-0.4
Q2 18,5.8,36.9,5.0,691.4,7.2,-0.5,38.295,-1.0,-0.8
Q3 18,5.7,37.7,5.0,690.5,-1.0,0.1,32.353,-1.1,-0.7
Q4 18,5.7,40.2,5.6,696.6,6.2,0.5,25.76,-0.9,-0.2
Q1 19,5.0,33.1,4.6,706.6,9.9,-0.9,22.338,-0.9,-0.4
Q2 19,5.1,31.6,4.1,713.2,6.6,-0.5,21.797,-0.9,-1.0
Q3 19,5.1,32.5,4.2,712.4,-0.9,0.2,21.9,-0.8,-0.8
Q4 19,4.8,35.7,4.9,721.6,9.2,0.6,24.962,-0.7,0.0
Q1 20,4.9,35.8,4.9,720.3,-1.2,0.1,13.785,0.3,0.0
Q2 20,5.1,37.0,5.2,661.1,-59.2,0.3,-52.093,1.1,0.1
Q3 20,7.2,61.7,8.4,674.0,12.9,3.3,-38.326,4.2,1.3
Q4 20,6.2,50.1,6.9,683.4,9.4,-1.6,-38.141,2.0,0.6
Q1 21,7.3,58.7,8.0,679.6,-3.9,1.2,-40.752,3.1,0.7
Q2 21,7.0,54.3,7.0,718.1,38.5,-1.0,56.993,1.8,0.0
Q3 21,5.5,47.7,5.9,749.0,30.9,-1.0,74.959,-2.5,0.5
Q4 21,5.2,46.5,5.8,773.0,24.0,-0.2,89.562,-1.1,0.5
Q1 22,5.0,48.5,6.0,775.6,2.6,0.3,95.993,-2.0,1.0
Q2 22,4.2,36.3,4.3,781.5,5.9,-1.7,63.392,-2.7,0.1
Q3 22,4.2,40.0,4.8,777.2,-4.3,0.6,28.172,-1.1,0.7
Q4 22,4.4,40.6,5.1,782.2,5.0,0.2,9.186,-0.7,0.6
Q1 23,4.2,43.6,5.3,800.1,17.9,0.3,24.552,-0.7,1.1
Q2 23,4.1,40.4,4.7,806.6,6.5,-0.6,25.097,0.4,0.6
Q3 23,4.4,40.5,4.7,788.1,-18.5,0.1,10.95,-0.1,0.4
Q4 23,4.5,42.0,5.1,799.5,11.4,0.3,17.273,0.0,0.5
Q1 24,4.3,40.3,4.8,823.0,23.5,-0.2,22.841,-0.5,0.5
Q2 24,4.4,39.1,4.5,834.5,11.5,-0.3,27.896,-0.19,0.1
Q3 24,4.3,41.3,4.7,829.6,-4.9,0.2,41.511,-0.02,0.4
